Port Logger Log: Unix time: 1305409181.15
Ports in use: /dev/pts/4 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 
Comments: Logging virtual pipeline in off mode through a null modem cable at 9600 baud. This log uses the new timestamp location and 6-decimal format.
1305409219.683988 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409219.916009 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409219.923971 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409220.099965 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409220.108117 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409220.340004 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409220.350483 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409220.528497 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409220.536456 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409220.768013 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409220.778482 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409220.956511 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409220.964048 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409221.196012 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409221.206498 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409221.383991 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409221.392549 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409221.624011 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409221.632305 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409221.807990 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409221.816444 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409222.047996 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409222.058498 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409222.235969 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409222.244147 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409222.475995 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409222.486494 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409222.664033 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409222.672050 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409222.904011 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409222.912459 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409223.089391 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409223.096011 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409223.327999 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409223.338459 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409223.515989 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409223.524476 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409223.756063 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409223.766583 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409223.943983 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409223.951959 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409224.184516 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409224.195086 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409224.372487 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409224.379953 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409224.612004 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409224.622450 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409224.800015 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409224.808106 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409225.040060 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409225.047965 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409225.224476 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409225.232486 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409225.464026 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409225.472132 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409225.648007 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409225.655966 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409225.888016 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409225.898496 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409226.076034 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409226.084553 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409226.316033 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409226.323963 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409226.500003 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409226.507971 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
