Port Logger Log: Unix time: 1305343083.88
Ports in use: /dev/pts/7 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 
Comments: This trace was taken of the virtual pipeline system in 'off' mode with comms running through a serialport null modem cable. USB2 is the master, pty is slave
1305343093.87 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343093.88 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343094.06 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343094.06 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343094.15 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343094.16 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343094.34 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343094.34 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343094.43 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343094.44 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343094.62 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343094.62 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343094.71 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343094.72 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343094.9 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343094.91 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343094.99 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343095.0 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343095.18 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343095.18 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343095.27 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343095.28 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343095.46 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343095.47 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343095.55 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343095.56 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343095.74 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343095.74 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343095.83 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343095.84 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343096.02 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343096.02 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343096.11 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343096.12 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343096.3 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343096.3 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343096.39 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343096.4 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343096.58 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343096.58 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343096.67 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343096.68 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343096.86 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343096.86 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343096.95 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343096.96 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343097.13 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343097.14 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343097.22 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343097.23 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343097.41 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343097.42 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343097.5 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343097.51 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343097.69 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343097.7 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343097.78 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343097.79 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343097.97 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343097.98 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343098.06 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343098.07 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343098.25 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343098.26 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343098.34 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343098.35 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343098.53 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343098.54 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343098.62 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343098.63 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343098.81 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343098.82 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343098.9 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343098.91 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343099.09 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343099.1 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343099.18 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343099.19 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343099.38 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343099.38 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343099.47 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343099.48 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343099.65 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343099.66 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343099.74 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343099.75 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343099.93 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343099.94 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343100.02 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343100.03 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343100.21 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343100.22 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343100.3 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343100.31 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343100.48 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343100.49 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343100.58 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343100.59 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343100.76 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343100.77 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343100.85 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343100.86 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343101.04 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343101.04 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343101.13 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343101.14 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343101.32 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343101.32 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
