Port Logger Log: Unix time: 1306379073.24
Ports in use: /dev/pts/6 /dev/pts/7
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306379074.585803 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379074.603575 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379074.787332 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379074.827081 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379074.995823 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379075.011243 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379075.195063 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379075.235571 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379075.399008 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379075.415047 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379075.599504 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379075.639094 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379075.807240 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379075.823066 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379076.007577 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379076.047065 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379076.215431 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379076.231076 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379076.415054 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379076.455274 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379076.623546 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379076.642499 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379076.827026 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379076.867068 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379077.031001 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379077.047075 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379077.231070 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379077.271716 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379077.439027 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379077.455570 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379077.639558 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379077.679073 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379077.847408 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379077.863126 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379078.043010 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379078.083546 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379078.251502 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379078.267526 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379078.451079 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379078.491062 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379078.654994 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379078.671549 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379078.850995 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379078.887537 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379079.051001 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379079.067005 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379079.246992 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379079.287496 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379079.452473 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379079.467500 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379079.646992 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379079.683020 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379079.847206 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379079.863503 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379080.042996 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379080.079053 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379080.242994 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379080.259000 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379080.439013 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379080.479565 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379080.642994 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379080.659524 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379080.839062 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379080.879060 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379081.047348 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379081.066199 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379081.251259 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379081.291550 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379081.459161 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379081.475505 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379081.659000 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379081.700256 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379081.867545 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379081.883156 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379082.067545 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379082.107067 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379082.275528 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379082.291166 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379082.475371 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379082.515058 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379082.679507 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379082.695555 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379082.879465 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379082.919058 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379083.087502 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379083.103523 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379083.287621 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379083.327551 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379083.495572 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379083.514396 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379083.695615 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379083.736443 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379083.903037 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
1306379083.919025 : /dev/pts/7 : 07.03.14.00.00.00.00.0d.eb.00.00.00.00.00.00.00.00.00.00.00.00.00.02.e6.f6
1306379084.103583 : /dev/pts/6 : 07.10.0b.e9.00.0a.14.00.00.00.00.00.00.00.00.00.00.00.00.00.1e.00.32.00.3c.00.5a.d5.ee
1306379084.143171 : /dev/pts/7 : 07.10.0b.e9.00.0a.93.b8
1306379084.307666 : /dev/pts/6 : 07.03.0b.b7.00.0a.77.a9
